real_price,theme_cat,theme_lic
12.99,Junior,FALSE
16.12,Junior,FALSE
3.95,Junior,FALSE
17.59,Junior,FALSE
19.73,Junior,FALSE
29.69,Junior,FALSE
25.33,Junior,FALSE
15.52,Junior,FALSE
90.65,Junior,FALSE
38.85,Junior,FALSE
19.99,Junior,FALSE
97.72,Junior,FALSE
95.41,Junior,FALSE
17.33,Junior,FALSE
117.07,Junior,FALSE
42.72,Junior,FALSE
14.99,Junior,FALSE
29.99,Junior,FALSE
29.99,Junior,FALSE
12.95,Junior,TRUE
20.43,Junior,FALSE
16.84,Junior,FALSE
14.99,Junior,FALSE
18.38,Junior,FALSE
42.88,Junior,FALSE
40.58,Junior,FALSE
27.06,Junior,FALSE
14.59,Junior,FALSE
2.2,Junior,FALSE
65.77,Junior,FALSE
17.1,Junior,FALSE
12.99,Junior,TRUE
14.99,Junior,FALSE
29.99,Junior,TRUE
29.99,Junior,FALSE
54.99,Junior,TRUE
117.85,Junior,FALSE
12.23,Junior,FALSE
6.99,Junior,FALSE
13.53,Junior,FALSE
27.06,Junior,FALSE
20.29,Junior,FALSE
43.54,Junior,FALSE
11.54,Junior,FALSE
35.73,Junior,FALSE
26.31,Junior,FALSE
18.38,Junior,FALSE
16.22,Junior,FALSE
21.63,Junior,FALSE
8.12,Junior,FALSE
49.99,Junior,FALSE
29.99,Junior,FALSE
24.99,Junior,FALSE
26.31,Junior,FALSE
11.93,Junior,FALSE
41.42,Junior,FALSE
50.02,Junior,FALSE
93.2,Junior,FALSE
97.72,Junior,FALSE
64.09,Junior,FALSE
71.56,Junior,FALSE
59.99,Junior,FALSE
19.99,Junior,FALSE
115.54,Junior,FALSE
59.99,Junior,FALSE
21.36,Junior,FALSE
13.98,Junior,FALSE
7.15,Junior,FALSE
35.73,Junior,FALSE
5.18,Junior,FALSE
119.28,Junior,FALSE
4.43,Junior,FALSE
19.73,Junior,FALSE
6.48,Junior,FALSE
26.31,Junior,FALSE
6.33,Junior,FALSE
7.89,Junior,FALSE
16.28,Junior,FALSE
29.69,Junior,FALSE
59.64,Junior,FALSE
8.58,Junior,FALSE
15.21,Junior,FALSE
12.95,Junior,FALSE
6.48,Junior,FALSE
42.3,Junior,FALSE
34.96,Junior,FALSE
13.15,Junior,FALSE
20.97,Junior,FALSE
125.96,Junior,FALSE
18.5,Junior,FALSE
23.84,Junior,FALSE
35.73,Junior,FALSE
60.87,Junior,FALSE
33.69,Junior,FALSE
24.8,Junior,FALSE
5.35,Junior,FALSE
8.71,Junior,FALSE
41.95,Junior,FALSE
40.52,Junior,FALSE
27.14,Junior,FALSE
6.99,Junior,FALSE
13.18,Junior,FALSE
54.28,Junior,FALSE
12.99,Junior,FALSE
19.99,Junior,FALSE
7.77,Junior,FALSE
16.03,Junior,FALSE
49.33,Junior,FALSE
25.88,Junior,FALSE
32.04,Junior,FALSE
54.28,Junior,FALSE
86.55,Junior,FALSE
17.89,Junior,FALSE
6.17,Junior,FALSE
19.09,Junior,FALSE
2.53,Junior,FALSE
9.6,Junior,FALSE
35.73,Junior,FALSE
28.58,Junior,FALSE
25.33,Junior,FALSE
25.36,Junior,FALSE
40.58,Junior,FALSE
