set_num,set_name,piece_count,real_price,real_ppp,theme_cat,theme_lic
10676-1,Knights' Castle,480,49.99,0.1,Junior,FALSE
4777-1,Knights' Castle,164,61.66,0.38,Junior,FALSE
3652-1,Lady Bird Collection,17,19.43,1.14,Junior,FALSE
3036-1,Large Bucket,70,13.98,0.2,Junior,FALSE
4148-1,Large Clearpack,220,29.03,0.13,Junior,FALSE
5357-1,Large Quatro Bucket,75,24.66,0.33,Junior,FALSE
5434-1,LEGO Baby Stack 'n' Learn,36,25.9,0.72,Junior,FALSE
5572-1,LEGO DUPLO Build & Play,100,48.68,0.49,Junior,FALSE
9695-1,LEGO Mindstorms Education Resource Set,821,106.78,0.13,Junior,FALSE
9024-1,LEGO Soft Imagination Set,74,286.28,3.87,Junior,FALSE
6760-1,Let's Go! Wroom!,12,13.18,1.1,Junior,FALSE
9543-1,Let's Play Maths,124,95.43,0.77,Junior,FALSE
9547-1,Letters Set,146,70.38,0.48,Junior,FALSE
3773-1,Level Crossing,14,9.53,0.68,Junior,FALSE
2740-1,Level Crossing,7,16.12,2.3,Junior,FALSE
9134-1,Life-on-the-Farm Set,105,125.62,1.2,Junior,FALSE
3298-1,Lift and Load Sumsy,12,11.56,0.96,Junior,FALSE
3170-1,Light and Sound Stacker,10,19.73,1.97,Junior,FALSE
5813-1,Lightning McQueen,11,16.01,1.46,Junior,FALSE
2833-1,Lila / the Big Bluebell,32,27.97,0.87,Junior,FALSE
3029-1,Limited Edition Silver Duplo Bucket,71,14.29,0.2,Junior,FALSE
3027-1,Limited Edition Silver Freestyle Bucket,411,14.29,0.03,Junior,FALSE
3028-1,Limited Edition Silver Freestyle Tub,836,28.58,0.03,Junior,FALSE
3030-1,Limited Edition Tub with Silver Brick,141,28.58,0.2,Junior,FALSE
2018-1,Little Brother Stack 'n' Learn Set,19,21.44,1.13,Junior,FALSE
4686-1,Little Farm,50,24.66,0.49,Junior,FALSE
2785-1,Living Room,9,13.38,1.49,Junior,FALSE
4667-1,Loadin' Digger,29,9.87,0.34,Junior,FALSE
3597-1,Lofty and Dizzy Hard At Work,51,43.42,0.85,Junior,FALSE
5818-1,Luigi's Italian Place,22,20.7,0.94,Junior,FALSE
5816-1,Mack's Road Trip,34,53.41,1.57,Junior,FALSE
2952-1,Marie,6,13.15,2.19,Junior,FALSE
5683-1,Market Place,24,25.88,1.08,Junior,FALSE
5814-1,Mater's Yard,16,21.36,1.33,Junior,FALSE
9544-1,Maths Machines,555,119.28,0.21,Junior,FALSE
2361-1,Matt and Mutt Building Set,23,17.1,0.74,Junior,FALSE
2281-1,Maxi Brick Runner,47,41.95,0.89,Junior,FALSE
2669-1,Maxi Zoo,65,131.9,2.03,Junior,FALSE
5356-1,Medium Quatro Bucket,50,18.5,0.37,Junior,FALSE
2083-1,Medium Stack 'n' Learn Set,8,11.61,1.45,Junior,FALSE
41051-1,Merida's Highland Games,145,19.99,0.14,Junior,TRUE
10531-1,Mickey Mouse and Friends,65,35.5,0.55,Junior,FALSE
4166-1,Mickey's Car Garage,88,27.06,0.31,Junior,TRUE
4164-1,Mickey's Fire Engine,26,13.53,0.52,Junior,TRUE
4178-1,Mickey's Fishing Adventure,104,32.47,0.31,Junior,TRUE
4167-1,Mickey's Mansion,119,54.11,0.45,Junior,TRUE
9797-1,Mindstorms Education Base Set,431,280.88,0.65,Junior,FALSE
2915-1,Mini Digger,16,22.93,1.43,Junior,FALSE
3587-1,Mini Dozer,15,12.66,0.84,Junior,FALSE
4165-1,Minnie's Birthday Party,82,23,0.28,Junior,TRUE
2930-1,Mobile Crane,27,49.81,1.84,Junior,FALSE
10585-1,Mom and Baby,13,9.99,0.77,Junior,FALSE
9534-1,Mosaic Tiles,258,86.58,0.34,Junior,FALSE
9546-1,Mosaics Set,260,82.3,0.32,Junior,FALSE
2601-1,Mother & Baby,7,10.16,1.45,Junior,FALSE
2904-1,Motorbike,11,13.53,1.23,Junior,FALSE
2673-1,Motorcycle Patrol,5,10.39,2.08,Junior,FALSE
5363-1,Mountain Climber,15,29.82,1.99,Junior,FALSE
3289-1,Muck & Roley in the Sunflower Factory,37,33.69,0.91,Junior,FALSE
3276-1,Muck and Scoop,52,39.46,0.76,Junior,FALSE
3596-1,Muck Can Do It,39,32.56,0.83,Junior,FALSE
3294-1,Muck's Recycling Set,33,17.89,0.54,Junior,FALSE
3364-1,Music Composer,7,64.75,9.25,Junior,FALSE
3370-1,Music Extras,6,10.36,1.73,Junior,FALSE
2077-1,My Bumble Bee,12,13.53,1.13,Junior,FALSE
4631-1,My First Build,59,25.36,0.43,Junior,FALSE
10504-1,My First Circus,62,34.99,0.56,Junior,FALSE
10518-1,My First Construction Site,43,19.99,0.46,Junior,FALSE
10617-1,My First Farm,26,19.99,0.77,Junior,FALSE
6141-1,My First Farm,62,25.36,0.41,Junior,FALSE
6138-1,My First Fire Station,60,31.06,0.52,Junior,FALSE
10517-1,My First Garden,38,12.99,0.34,Junior,FALSE
5931-1,My First LEGO DUPLO Set,30,15.52,0.52,Junior,FALSE
5592-1,My First Plane,8,16.28,2.03,Junior,FALSE
10616-1,My First Playhouse,25,19.99,0.8,Junior,FALSE
10532-1,My First Police Set,39,24.99,0.64,Junior,FALSE
5470-1,My First Quatro Figure,18,11.56,0.64,Junior,FALSE
5476-1,My First Quatro Set,20,15.49,0.77,Junior,FALSE
10546-1,My First Shop,39,24.99,0.64,Junior,FALSE
6137-1,My First Supermarket,38,20.7,0.54,Junior,FALSE
10615-1,My First Tractor,12,14.99,1.25,Junior,FALSE
3770-1,My First Train,12,11.92,0.99,Junior,FALSE
5606-1,My First Train,10,18.38,1.84,Junior,FALSE
10507-1,My First Train Set,52,44.99,0.87,Junior,FALSE
6136-1,My First Zoo,60,25.88,0.43,Junior,FALSE
2794-1,My House,76,132.04,1.74,Junior,FALSE
6178-1,MY LEGO Duplo Town,79,32.45,0.41,Junior,FALSE
2808-1,My Own Building Site,11,25.17,2.29,Junior,FALSE
2916-1,MyBot,31,67.64,2.18,Junior,FALSE
2946-1,MyBot Expansion Kit,14,17.1,1.22,Junior,FALSE
3281-1,Naughty Spud,9,6.48,0.72,Junior,FALSE
8321-1,Nepol and Shimmel,27,25.9,0.96,Junior,TRUE
8320-1,Nepol Basic Figure,10,12.95,1.3,Junior,TRUE
10513-1,Never Land Hideout,37,24.99,0.68,Junior,FALSE
8310-1,Nick Bluetooth,12,12.95,1.08,Junior,TRUE
8313-1,Nick Bluetooth Deluxe,15,19.43,1.3,Junior,TRUE
10558-1,Number Train,31,19.99,0.64,Junior,FALSE
